conductance ssl voting neighborhood cc_voting cc_neighborhood lowest_spectrum
0 1.0 1.0 1.0 1.0 1.0 1.0
0.16666666666666666 0.7722491909385114 1.0 1.0 1.0 1.0 1.0
0.2982456140350877 0.7576860841423949 1.0 1.0 1.0 1.0 0.9069579288025891
0.3939393939393939 0.7042880258899676 0.9902912621359223 1.0 1.0 1.0 1.0
0.4666666666666667 0.6974110032362459 0.9292071197411003 0.9069579288025891 0.9069579288025891 0.9069579288025891 0.8604368932038835
0.5238095238095238 0.6355177993527508 0.8410194174757282 0.7673948220064726 0.720873786407767 0.7673948220064726 0.9534789644012944
0.5652173913043478 0.6112459546925566 0.8313106796116505 0.8139158576051779 0.7673948220064726 0.8139158576051779 0.8139158576051779
0.6039603960396039 0.6306634304207119 0.8632686084142396 0.8535598705501618 0.720873786407767 0.627831715210356 0.9069579288025891
0.6363636363636364 0.6549352750809062 0.7334142394822007 0.7014563106796117 0.720873786407767 0.5813106796116505 0.6743527508090615
0.6638655462184874 0.5153721682847896 0.44660194174757284 0.49595469255663427 0.441747572815534 0.4882686084142395 0.534789644012945
0.6875 0.5008090614886731 0.3620550161812298 0.36690938511326865 0.441747572815534 0.441747572815534 0.441747572815534
