conductance ssl voting neighborhood cc_voting cc_neighborhood lowest_spectrum
0 1.0 1.0 1.0 1.0 1.0 1.0
0.16326530612244897 0.8152173913043478 1.0 1.0 1.0 1.0 1.0
0.2807017543859649 0.7826086956521738 0.9565217391304348 0.9456521739130435 0.8641304347826086 0.9456521739130435 1.0
0.36923076923076925 0.7119565217391304 0.9076086956521738 0.8369565217391304 0.7010869565217391 0.8369565217391304 0.9728260869565217
0.4383561643835616 0.75 0.7717391304347827 0.717391304347826 0.7010869565217391 0.7282608695652173 0.7282608695652173
0.49693251533742333 0.657608695652174 0.8152173913043478 0.8152173913043478 0.7010869565217391 0.7826086956521738 0.6195652173913043
0.5418994413407822 0.7228260869565217 0.7717391304347826 0.6684782608695652 0.7010869565217391 0.6739130434782609 0.5108695652173914
0.5794871794871795 0.625 0.75 0.7934782608695652 0.5380434782608695 0.7282608695652173 0.7010869565217391
0.6113744075829384 0.592391304347826 0.5054347826086957 0.6467391304347826 0.483695652173913 0.6467391304347826 0.5380434782608695
0.6387665198237885 0.5815217391304348 0.4402173913043478 0.5543478260869565 0.4565217391304348 0.483695652173913 0.5652173913043479
0.6639344262295082 0.5271739130434783 0.4836956521739131 0.5434782608695652 0.42934782608695654 0.5380434782608695 0.4565217391304348
