edge_removal voting neighborhood
10 0.7718478260869566 0.7652173913043478
30 0.7707608695652172 0.7682608695652174
50 0.7842391304347828 0.7880434782608695
70 0.6889130434782609 0.7330434782608694
90 0.5619565217391304 0.5978260869565217
