conductance ssl v_0.1 v_0.2 v_0.3 v_0.4 v_0.5 v_0.6
0.16675359206422252 0.9644268774703557 0.9526153846153846 0.984 0.992 0.9826086956521739 0.9826086956521739 0.9652173913043478
0.291872565664636 0.8976190476190475 0.9246593406593406 0.984 0.9572463768115942 0.9477602108036891 0.9087991718426501 0.9167701863354037
0.38325951736249586 0.8833216638434029 0.764766978625652 0.8505827505827506 0.9012820512820513 0.9125800865800865 0.9174948240165631 0.853861927546138
0.4533196742724498 0.7226930963773068 0.6898477866219802 0.7429329779554666 0.7665641025641026 0.7665217391304348 0.7448051948051948 0.758095238095238
0.5087484819850531 0.7005530417295123 0.6255841945915683 0.6672540103574587 0.6599603584123708 0.6685185185185185 0.6805797101449275 0.6189803921568627
0.5520486139119679 0.45322915566818006 0.528466173815011 0.5870636889991729 0.5797744419382438 0.5721375921375922 0.5175271512113617 0.472225813402284
0.5891003140871308 0.30315820241139935 0.41346520680583004 0.5358782579370815 0.48361200101703533 0.3942999791970044 0.3136507936507937 0.30219780219780223
0.6215887306774601 0.2606060606060606 0.3035789490359015 0.4971573145387187 0.3960716845878136 0.3692579865954479 0.2523565323565324 0.05934065934065934
0.6486811822697982 0.09769173492181682 0.22571930848745156 0.10192134107027724 0.07934065934065934 0.02857142857142857 0.0 0.0
0.6727837575675775 0.0 0.169883273502988 0.10219174121261408 0.01818181818181818 0.0 0.0 0.0
